baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HAX54_001872-T1	7.53634296081743	6.25739496843103	1.88591624756931	9.81027636493262	0.00173539425929162	0.0481576710438882
HAX54_002124-T1	110.972736709998	5.86291453720274	1.49898728430142	10.6721562637572	0.00108760261156286	0.0375271675421077
HAX54_002135-T1	406.704628018633	6.41280916740298	1.5300390479459	11.2421180074099	0.000799618564531444	0.0330166265471727
HAX54_002235-T1	13.2431952166653	-7.29562646567235	1.83399709040472	13.3354287322832	0.000260438449645342	0.0184408065363563
HAX54_002234-T1	249.479238586868	-2.91823451169471	0.71279450897292	14.6217323873716	0.000131390587000109	0.0131486061129071
HAX54_002267-T1	183.69574365172	-1.66125894150328	0.490346448889232	10.9555692707212	0.000933226970462889	0.0348706165539499
HAX54_002311-T1	1228.15944940862	-1.02129036781434	0.31344815358621	10.4095820377034	0.00125363114797035	0.0412941531098524
HAX54_002416-T1	27.0495165498168	6.21094055380445	1.61335988211713	13.2793155684597	0.000268350447309809	0.0185668978149449
HAX54_002428-T1	5387.90133451749	2.0124936868702	0.589456051272012	10.8208457378092	0.00100363632822872	0.0361347380913291
HAX54_002504-T1	222.714723466211	-5.06826940917674	1.23183866996589	12.2395079002688	0.000467881672743745	0.0251130234726435
HAX54_002553-T1	17548.4731218407	-4.68830648523504	0.908776697625213	19.5584336121372	9.7569059029728e-06	0.00320658495022587
HAX54_002559-T1	145.44367135666	-4.03676263646994	1.00089638493291	12.9761564145006	0.000315482942893307	0.0202757382031497
HAX54_002572-T1	159.190490281581	-4.09724586794943	1.09652270440989	11.0326717868468	0.000895200336582618	0.0344741530416856
HAX54_002706-T1	97.5738462388904	2.60845246340435	0.76151128334901	10.5711657921952	0.00114865264605596	0.038724457774465
HAX54_002723-T1	25.9092638378399	6.14798564848718	1.69237469915538	11.4180445669417	0.00072734207296777	0.031954571678295
HAX54_002752-T1	1519.21972859486	3.86648333032169	1.00069089073346	11.8815389455072	0.000566930777993476	0.0281371437265136
HAX54_002789-T1	138.343809743368	3.73432209418911	0.975207186479359	12.0287475834239	0.000523862641595472	0.0269233985003907
HAX54_002847-T1	84.7449734569716	3.27423023952898	0.922596786709516	10.8227104987774	0.00100262599489468	0.0361347380913291
HAX54_002949-T1	388.780404086359	1.51965685593042	0.463580246570881	10.3101717353484	0.00132298970784442	0.0426082242099873
HAX54_003052-T1	26.5311818531547	-7.3317140650761	1.64471700898095	18.5400624461104	1.66370343807444e-05	0.0044143089112432
HAX54_003070-T1	336.181330548688	6.5236246679374	1.36171329313836	14.7449251982432	0.000123078352355761	0.0127693132303241
HAX54_003076-T1	600.979316756499	-0.881580536802921	0.25884637088432	11.4417257923771	0.000718130616327646	0.0318055980931269
HAX54_003088-T1	979.440798816529	1.47817062543992	0.454246853715577	10.1676661626261	0.00142925080628851	0.0438804273552762
HAX54_003096-T1	86.6830646164199	-3.57000886480059	1.04364865812022	9.75508528099324	0.00178827346544089	0.0486534872003913
HAX54_003186-T1	558.994826306128	4.11221164213753	1.09460479278373	11.0106141251753	0.000905916261550387	0.0344972295819079
HAX54_003221-T1	78.5326974901886	4.12670770112764	0.975517877158713	14.5680237088731	0.000135189259203152	0.0133628802924169
HAX54_003251-T1	192.585098202473	4.43162137326953	0.99863509035163	15.1956336662369	9.69272785643386e-05	0.011633673935616
HAX54_003274-T1	797.81301843832	3.44837898936295	0.893597333412845	12.3323811816883	0.000445168188042102	0.0246170347349247
HAX54_003379-T1	76.4824058967778	-2.78591425399695	0.802001185878842	10.76443821549	0.00103468966039885	0.0366270008181092
HAX54_003403-T1	708.944968918541	6.59634836948512	1.60878758840377	10.4634001793147	0.00121762951213866	0.0403379875378718
HAX54_003448-T1	20.2041318030926	6.70284907296642	1.61623628831914	16.7973888067477	4.15904930133183e-05	0.00699324795603591
HAX54_003475-T1	636.812715988859	-8.42317471507849	1.41142558123961	19.9860586239531	7.80088551947467e-06	0.00278576203564252
HAX54_003502-T1	38.0658342478024	-7.85470986479071	1.926404644484	12.7361820035088	0.000358649088980974	0.0216853970441197
HAX54_003583-T1	1687.65136986743	1.23468425232101	0.384848515307485	9.99880325227637	0.00156641987230777	0.0455187905516338
HAX54_003659-T1	19.1287608366407	7.59962219431386	2.09345752559715	10.1691549072512	0.00142809718979624	0.0438804273552762
HAX54_003773-T1	65.7144701472665	9.38014684813472	2.08585748376685	13.65676932958	0.000219448744313297	0.0168695584340146
HAX54_003801-T1	150.360537056841	9.61078931595633	1.73893063352755	23.3513769948715	1.34946870716285e-06	0.000929237725710876
HAX54_003809-T1	43.1755124447824	6.88908628258102	1.83640719649154	10.9240329596204	0.000949247396066204	0.03506715790735
HAX54_003912-T1	658.692609793515	3.64715796612248	1.0454691539573	9.89971174564599	0.00165304662642643	0.0471942364095546
HAX54_003994-T1	54.5595946283294	4.81481059260666	1.19936430162116	12.733891528056	0.000359088587622316	0.0216853970441197
HAX54_004029-T1	59.6542725836936	-4.98219451734837	0.996031761053414	20.0807409366181	7.42405244669395e-06	0.00277713046775105
