[]
lordec-build-SR-graph: invalid option -- 't'
DEBUG printing
-2
/rhome/arajewski/bigdata/Datura/1_hercules/DstrTrim_1P_subsample.fq,/rhome/arajewski/bigdata/Datura/1_hercules/DstrTrim_2P_subsample.fq
-k
19
-s
3
-t
-g
DstrTrim
24
illumina: /rhome/arajewski/bigdata/Datura/1_hercules/DstrTrim_1P_subsample.fq,/rhome/arajewski/bigdata/Datura/1_hercules/DstrTrim_2P_subsample.fq
kmer_len: 19 solid_kmer_thr: 3
abundance_max: 2147483647

[DSK: counting kmers                     ]  0    %   elapsed:   0 min 0  sec   remaining:   0 min 0  sec   cpu:  -1.0 %   mem: [  22,   22,  128] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  0    %   elapsed:   0 min 0  sec   remaining:   0 min 0  sec   cpu:  -1.0 %   mem: [  86,   86,  128] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  1    %   elapsed:   0 min 18 sec   remaining:  30 min 20 sec   cpu: 639.6 %   mem: [2929, 2929, 2929] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  2    %   elapsed:   1 min 34 sec   remaining:  76 min 37 sec   cpu: 262.7 %   mem: [2958, 2958, 2958] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  3    %   elapsed:   2 min 28 sec   remaining:  79 min 53 sec   cpu: 242.9 %   mem: [2963, 2963, 2963] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  4    %   elapsed:   3 min 13 sec   remaining:  77 min 11 sec   cpu: 243.0 %   mem: [2966, 2966, 2966] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  5    %   elapsed:   3 min 52 sec   remaining:  73 min 19 sec   cpu: 247.6 %   mem: [2969, 2969, 2969] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  6    %   elapsed:   4 min 34 sec   remaining:  71 min 37 sec   cpu: 248.2 %   mem: [2970, 2970, 2970] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  7    %   elapsed:   5 min 25 sec   remaining:  72 min 0  sec   cpu: 243.1 %   mem: [2972, 2972, 2972] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  8    %   elapsed:   6 min 13 sec   remaining:  71 min 29 sec   cpu: 241.6 %   mem: [2973, 2973, 2973] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  9    %   elapsed:   7 min 4  sec   remaining:  71 min 31 sec   cpu: 240.0 %   mem: [2974, 2974, 2974] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  10   %   elapsed:   7 min 55 sec   remaining:  71 min 17 sec   cpu: 238.0 %   mem: [2974, 2974, 2974] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  11   %   elapsed:   8 min 37 sec   remaining:  69 min 45 sec   cpu: 240.8 %   mem: [2975, 2975, 2975] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  12   %   elapsed:   9 min 19 sec   remaining:  68 min 17 sec   cpu: 243.4 %   mem: [2976, 2976, 2976] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  13   %   elapsed:  10 min 6  sec   remaining:  67 min 34 sec   cpu: 243.5 %   mem: [2976, 2976, 2976] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  14   %   elapsed:  10 min 51 sec   remaining:  66 min 40 sec   cpu: 243.7 %   mem: [2976, 2976, 2976] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  15   %   elapsed:  11 min 34 sec   remaining:  65 min 30 sec   cpu: 245.7 %   mem: [2977, 2977, 2977] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  54   %   elapsed:  50 min 20 sec   remaining:  42 min 52 sec   cpu: 209.4 %   mem: [3535, 3535, 3535] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  55   %   elapsed:  51 min 17 sec   remaining:  41 min 58 sec   cpu: 209.5 %   mem: [3535, 3535, 3535] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  56   %   elapsed:  52 min 9  sec   remaining:  40 min 59 sec   cpu: 209.7 %   mem: [3535, 3535, 3535] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  57   %   elapsed:  52 min 55 sec   remaining:  39 min 55 sec   cpu: 210.4 %   mem: [3535, 3535, 3535] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  58   %   elapsed:  53 min 45 sec   remaining:  38 min 55 sec   cpu: 210.9 %   mem: [3535, 3535, 3535] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  59   %   elapsed:  54 min 40 sec   remaining:  37 min 60 sec   cpu: 211.1 %   mem: [3535, 3535, 3535] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  60   %   elapsed:  55 min 39 sec   remaining:  37 min 6  sec   cpu: 211.0 %   mem: [3535, 3535, 3535] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  61   %   elapsed:  56 min 30 sec   remaining:  36 min 8  sec   cpu: 211.4 %   mem: [3535, 3535, 3535] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  62   %   elapsed:  57 min 25 sec   remaining:  35 min 12 sec   cpu: 211.5 %   mem: [3535, 3535, 3535] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  63   %   elapsed:  58 min 15 sec   remaining:  34 min 13 sec   cpu: 212.0 %   mem: [3535, 3535, 3535] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  64   %   elapsed:  59 min 9  sec   remaining:  33 min 16 sec   cpu: 212.1 %   mem: [3535, 3535, 3535] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  65   %   elapsed:  59 min 55 sec   remaining:  32 min 16 sec   cpu: 212.6 %   mem: [3535, 3535, 3535] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  66   %   elapsed:  60 min 49 sec   remaining:  31 min 20 sec   cpu: 212.8 %   mem: [3535, 3535, 3535] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  67   %   elapsed:  61 min 42 sec   remaining:  30 min 24 sec   cpu: 213.0 %   mem: [3535, 3535, 3535] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  68   %   elapsed:  62 min 39 sec   remaining:  29 min 29 sec   cpu: 213.1 %   mem: [3535, 3535, 3535] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  69   %   elapsed:  63 min 26 sec   remaining:  28 min 30 sec   cpu: 213.6 %   mem: [3535, 3535, 3535] MB 
[DSK: Pass 1/1, Step 2: counting kmers   ]  69.9 %   elapsed:  82 min 17 sec   remaining:  35 min 22 sec   cpu: 167.2 %   mem: [3522, 3535, 3535] MB 
[DSK: Pass 1/1, Step 2: counting kmers   ]  72.3 %   elapsed:  85 min 55 sec   remaining:  32 min 52 sec   cpu: 164.3 %   mem: [4921, 4921, 4921] MB 
[DSK: Pass 1/1, Step 2: counting kmers   ]  72.3 %   elapsed:  85 min 55 sec   remaining:  32 min 52 sec   cpu: 164.3 %   mem: [4921, 4921, 4921] MB 
[DSK: Pass 1/1, Step 2: counting kmers   ]  72.3 %   elapsed:  85 min 55 sec   remaining:  32 min 52 sec   cpu: 164.3 %   mem: [4921, 4921, 4921] MB 
[DSK: Pass 1/1, Step 2: counting kmers   ]  73   %   elapsed:  86 min 0  sec   remaining:  31 min 48 sec   cpu: 166.2 %   mem: [9457, 9457, 9457] MB 
[DSK: Pass 1/1, Step 2: counting kmers   ]  74   %   elapsed:  86 min 0  sec   remaining:  30 min 11 sec   cpu: 166.2 %   mem: [9459, 9459, 9459] MB 
[DSK: Pass 1/1, Step 2: counting kmers   ]  75   %   elapsed:  86 min 6  sec   remaining:  28 min 40 sec   cpu: 168.1 %   mem: [9581, 9581, 9588] MB 
[DSK: Pass 1/1, Step 2: counting kmers   ]  76   %   elapsed:  86 min 6  sec   remaining:  27 min 10 sec   cpu: 168.2 %   mem: [9584, 9584, 9588] MB 
[DSK: Pass 1/1, Step 2: counting kmers   ]  77   %   elapsed:  86 min 10 sec   remaining:  25 min 41 sec   cpu: 169.7 %   mem: [9684, 9684, 9687] MB 
[DSK: Pass 1/1, Step 2: counting kmers   ]  78   %   elapsed:  86 min 11 sec   remaining:  24 min 16 sec   cpu: 170.2 %   mem: [9684, 9684, 9687] MB 
[DSK: Pass 1/1, Step 2: counting kmers   ]  79   %   elapsed:  86 min 11 sec   remaining:  22 min 54 sec   cpu: 170.2 %   mem: [9684, 9684, 9687] MB 
[DSK: Pass 1/1, Step 2: counting kmers   ]  80   %   elapsed:  86 min 21 sec   remaining:  21 min 34 sec   cpu: 171.9 %   mem: [9699, 9699, 9752] MB 
[DSK: Pass 1/1, Step 2: counting kmers   ]  81   %   elapsed:  86 min 22 sec   remaining:  20 min 12 sec   cpu: 172.1 %   mem: [9702, 9702, 9752] MB 
[DSK: Pass 1/1, Step 2: counting kmers   ]  82   %   elapsed:  86 min 26 sec   remaining:  18 min 57 sec   cpu: 173.7 %   mem: [9729, 9729, 9752] MB 
[DSK: Pass 1/1, Step 2: counting kmers   ]  83   %   elapsed:  86 min 27 sec   remaining:  17 min 41 sec   cpu: 174.0 %   mem: [9760, 9760, 9760] MB 
[DSK: Pass 1/1, Step 2: counting kmers   ]  84   %   elapsed:  86 min 32 sec   remaining:  16 min 27 sec   cpu: 175.7 %   mem: [9793, 9793, 9793] MB 
[DSK: Pass 1/1, Step 2: counting kmers   ]  85   %   elapsed:  86 min 33 sec   remaining:  15 min 14 sec   cpu: 175.9 %   mem: [9813, 9813, 9813] MB 
[DSK: Pass 1/1, Step 2: counting kmers   ]  86   %   elapsed:  86 min 37 sec   remaining:  14 min 4  sec   cpu: 177.4 %   mem: [9848, 9848, 9917] MB 
[DSK: Pass 1/1, Step 2: counting kmers   ]  87   %   elapsed:  86 min 39 sec   remaining:  12 min 54 sec   cpu: 177.9 %   mem: [9875, 9875, 9917] MB 
[DSK: Pass 1/1, Step 2: counting kmers   ]  88   %   elapsed:  86 min 39 sec   remaining:  11 min 49 sec   cpu: 178.0 %   mem: [9878, 9878, 9917] MB 
